predictedValue,RealValue,ErrorPercent
'1.188987105659291','1','18.89871056592911'
'1.009826908311915','1','0.9826908311914906'
'1.4853847137446743','1','48.53847137446743'
'1.6315413155613003','1','63.15413155613003'
'1.4272637723675738','1','42.726377236757386'
'1.5286016269754505','1','52.86016269754506'
'1.156240836859525','3','61.45863877134917'
'1.0120862923560894','1','1.2086292356089379'
'1.0102891148676747','1','1.0289114867674698'
'1.0101225960385793','1','1.0122596038579346'
'1.1930863178665692','1','19.308631786656917'
'1.2610994940069293','1','26.109949400692933'
'0.9997302841804112','1','0.026971581958878943'
'0.9802500078595596','1','1.9749992140440376'
'1.600510053537888','1','60.0510053537888'
'0.8046271479219604','5','83.90745704156079'
'1.1998300142098572','1','19.983001420985723'
'0.8075415015824862','1','19.245849841751383'
'0.6688991081738779','1','33.110089182612214'
'0.9934391058753483','5','80.13121788249305'
'0.6432802676579812','1','35.67197323420188'
'1.2363379517973145','1','23.633795179731454'
'0.817664256411317','1','18.2335743588683'
'0.817664256411317','1','18.2335743588683'
'1.0186893021059291','1','1.8689302105929118'
'1.1554706223743794','1','15.547062237437936'
'1.1379498310032552','1','13.79498310032552'
'1.027983204833632','1','2.7983204833631925'
'1.1757969675728497','1','17.579696757284967'
'1.1634164101124795','1','16.341641011247955'
'0.8697226665798502','1','13.02773334201498'
'1.0947030291578979','1','9.470302915789786'
'1.0035540038688398','1','0.355400386883975'
'1.1151346680894763','1','11.513466808947626'
'0.9559066700178576','1','4.409332998214244'
'1.2318344724394208','1','23.18344724394208'
'1.0266782976076128','1','2.6678297607612755'
'1.0121605002356926','1','1.2160500235692595'
'1.8946514604230842','3','36.84495131923053'
'0.995875943016537','1','0.4124056983462965'
'1.0947030291578979','1','9.470302915789786'
'0.956968953056869','1','4.303104694313098'
'2.3073957838833516','3','23.08680720388828'
'1.3062823892692903','1','30.62823892692903'
'1.009979777103592','1','0.9979777103592102'
'1.0414311883258005','1','4.1431188325800505'
'1.1048355740632017','1','10.483557406320166'
'1.0035540038688398','1','0.355400386883975'
'0.9888362386697541','1','1.116376133024588'
'1.2258213965869502','1','22.58213965869502'
'0.9510777533643937','1','4.892224663560629'
'0.9541489038884579','1','4.5851096111542144'
'1.2854617684599046','1','28.546176845990455'
'0.8216128887824193','1','17.838711121758067'
'0.989737394638956','1','1.0262605361043953'
'0.9798270152438109','1','2.0172984756189116'
'1.0073097159517161','2','49.634514202414195'
'1.5128193133934584','1','51.281931339345846'
'1.2460934665323986','1','24.60934665323986'
'1.010172748708749','1','1.0172748708749069'
'1.1326402502063444','1','13.26402502063444'
'1.1625539379196987','1','16.255393791969873'
'0.9724288696249984','1','2.7571130375001585'
'0.9890502574528823','2','50.547487127355886'
'1.10875707380435','2','44.562146309782506'
'1.0208399830975834','1','2.083998309758339'
'1.022287223366234','1','2.22872233662339'
'0.9548347751036159','1','4.516522489638408'
'0.9355126775446991','2','53.22436612276504'
'1.1634432430217678','1','16.344324302176783'
'1.0190314218023526','1','1.9031421802352622'
'1.066445484544092','1','6.644548454409205'
'2.0985276006179148','1','109.85276006179147'
'1.0064976888980606','2','49.67511555509697'
'1.0047386988173006','1','0.47386988173006017'
'1.024396979333662','1','2.4396979333662028'
'0.997114116130514','2','50.1442941934743'
'1.0925080681208346','1','9.250806812083457'
'1.1918043859015084','2','40.40978070492458'
'1.212780873338695','1','21.27808733386951'
'1.0633061316590182','2','46.83469341704909'
'1.0544129143322338','1','5.441291433223383'
'1.0240490698572657','1','2.4049069857265737'
'1.0414311883258005','1','4.1431188325800505'
'1.0097092019505627','1','0.9709201950562685'
'1.3701399758993125','1','37.01399758993125'
'0.9899308986378573','1','1.0069101362142674'
'1.2302907119314734','2','38.48546440342633'
'1.2017187702954764','1','20.171877029547638'
'0.9718347768843101','1','2.816522311568992'
'0.9548347751036159','1','4.516522489638408'
'1.0229560733254832','1','2.2956073325483217'
'0.9766550139336304','1','2.334498606636959'
'0.9689251973945957','1','3.1074802605404295'
'1.1059266084360928','2','44.70366957819536'
'1.4532163849829978','2','27.33918075085011'
'1.1123726536439673','2','44.38136731780163'
'1.0293937160471014','3','65.68687613176328'
'0.9944907093610773','1','0.5509290638922693'
'1.0490137870930418','1','4.901378709304183'
'1.202906712803014','2','39.8546643598493'
'0.990062015705713','1','0.993798429428705'
'1.0852115779211966','2','45.73942110394017'
'0.9386432628957955','1','6.135673710420453'
'0.9541489038884579','1','4.5851096111542144'
'0.9162883490611251','1','8.37116509388749'
'1.2203737743866265','92','98.67350676697106'
'1.1295339458687195','2','43.523302706564024'
'0.9433193967292915','1','5.668060327070846'
'1.4901106632245626','1','49.011066322456266'
'0.9548347751036159','2','52.2582612448192'
'0.9775264031904174','2','51.12367984047913'
'1.1625539379196987','1','16.255393791969873'
'0.9692559112876641','2','51.5372044356168'
'1.193586892610593','1','19.358689261059304'
'1.1123726536439673','2','44.38136731780163'
'1.1984933027249802','2','40.07533486375099'
'1.118713438388585','1','11.871343838858506'
'1.0343149101907212','1','3.4314910190721193'
'1.4750145966938062','1','47.50145966938062'
'1.0908031379912277','1','9.080313799122774'
'0.954262610990787','1','4.573738900921298'
'0.9770737604620682','1','2.2926239537931825'
'1.0569240988255526','1','5.6924098825552605'
'1.0073097159517161','1','0.7309715951716145'
'1.1326402502063444','1','13.26402502063444'
'1.0872655811252074','1','8.726558112520744'
'1.0148404131432578','1','1.4840413143257791'
'0.9510777533643937','1','4.892224663560629'
'1.3062823892692903','1','30.62823892692903'
'1.3486741823338422','1','34.867418233384214'
'0.9386432628957955','1','6.135673710420453'
'1.010347098905569','1','1.0347098905568952'
'1.0931822856828315','2','45.34088571585843'
'1.1295339458687195','1','12.953394586871948'
'0.827173125390096','1','17.2826874609904'
'1.3346858431945063','1','33.468584319450635'
'1.013854974551204','1','1.3854974551203991'
'0.9386432628957955','3','68.7118912368068'
'0.9770737604620682','1','2.2926239537931825'
'1.0366410226104092','1','3.6641022610409246'
'0.6392702687967701','2','68.0364865601615'
'1.0255886785796944','1','2.558867857969438'
'1.0121605002356926','1','1.2160500235692595'
'1.217077077282382','1','21.7077077282382'
'0.9534536888318492','1','4.654631116815078'
'1.340705123433976','1','34.070512343397596'
'1.013854974551204','1','1.3854974551203991'
'0.970887570822069','1','2.9112429177931'
'0.9901716960966109','1','0.9828303903389068'
'1.1524244887548396','1','15.24244887548396'
'1.027983204833632','1','2.7983204833631925'
